title,simple_first_paragraph,en_first_paragraph,main_category,main_topic,ores_topics,llama_score,llama_retained,llama_lost,mistral_score,mistral_retained,mistral_lost,gemma_score,gemma_retained,gemma_lost,page_id,revid
tony trabert,"'''Marion Anthony Trabert''' (August 16, 1930 – February 3, was an American amateur World No. 1 tennis player and commentator. He was born in US Open in 1953, 1954 and","'''Marion Anthony Trabert''' (August 16, 1930 – February 3, was an American amateur world No. 1 tennis champion and longtime tennis author, TV commentator, instructor, and motivational speaker.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Sports']",75.0,"['""Marion Anthony Trabert was an American tennis player"",         ""He was World No. 1 in amateur tennis"",         ""He was a commentator, instructor, and motivational speaker""']","['""Trabert was a champion tennis player (not just a player)"",         ""He was an author of tennis-related books (information not present in Simple English version)""         ""Trabert\'s birthdate and death date are mentioned in the original text, but not in the Simple English version""']",50.0,"['Marion Anthony Trabert was an American amateur World No. 1 tennis player.', 'Marion Anthony Trabert was born on August 16, 1930.']","['Marion Anthony Trabert died on February 3,', 'Marion Anthony Trabert was a tennis author, TV commentator, instructor, and motivational speaker.', 'Marion Anthony Trabert won the US Open in 1953 and 1954.']",80.0,"['American amateur World No. 1 tennis player', 'Commentator']","['Born in US Open in 1953, 1954', 'Longtime tennis author, TV commentator, instructor, and motivational speaker']",868643,1276485567.0
2024 finnish presidential election,'''Presidential elections''' were held in President of the Republic for a sixyear term. Current President Sauli Niinistö is termlimited and cannot run for reelection since he has served the maximum two terms.,"Presidential elections were held in president of the Republic for a sixyear term. Incumbent president Sauli Niinistö was termlimited and ineligible to run for reelection, having served the maximum two terms, ensuring that the president elected would be the country's thirteenth.",Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Northern Europe', 'History and Society.Politics and government']",60.0,"['Presidential elections were held for a six-year term.', 'Current President Sauli Niinistö is term-limited and cannot run for reelection since he has served the maximum two terms.']","[""The president elected would be the country's thirteenth.""]",100.0,"['Presidential elections were held in President of the Republic for a six-year term.', 'The incumbent president Sauli Niinistö is term-limited and cannot run for reelection.']",[],80.0,"['Presidential elections were held in President of the Republic for a sixyear term.', 'Current President Sauli Niinistö is termlimited and cannot run for reelection since he has served the maximum two terms.']","['Incumbent president Sauli Niinistö was termlimited and ineligible to run for reelection', ""The president elected would be the country's thirteenth.""]",67388223,1273867287.0
"la salle, aosta valley",'''La Salle''' is a ''comune'' in the Aosta Valley region in Italy.,'''La Salle''' (; Valdôtain: (locally )) is a town and ''comune'' in the Aosta Valley region of northwestern Italy.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Southern Europe']",64.0,"['La Salle is a town', ""It's located in the Aosta Valley region"", 'The region is in northwestern Italy']","['Valdôtain language is mentioned (locally )', ""Town status is explicitly stated ('town and comune')""]",100.0,"[""La Salle is a 'comune' in the Aosta Valley region in Italy.""]",[],80.0,"['La Salle is a comune in the Aosta Valley region in Italy.', 'It is a town.']","['Local name in Valdôtain', 'Location information']",6154461,1273671222.0
butch hartman,"'''Elmer Earl ""Butch"" Hartman IV''' (Born January 10, 1965, Highland Park, Michigan) is an American animator,voice actor. He is known for being the creator of ''The Fairly OddParents'', ''Danny Phantom'', T.U.F.F. Puppy and Bunsen is a Beast. He also created the Christian children’s cartoon The Garden https://gardencartoon.com/","'''Elmer Earl Butch Hartman IV''' (born January 10, is an American animator, illustrator, writer, producer, director, and actor. He is best known for creating the animated television series ''The Fairly OddParents'', ''Danny Phantom'', ''T.U.F.F. Puppy'', and ''Bunsen Is a Beast'' for Nickelodeon. He founded the company, Billionfold Inc. in 2003, to produce the shows. Hartman was an executive producer on ''The Fairly OddParents'' for the entirety of its 16year run.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Culture.Media.Media*', 'Culture.Media.Television']",67.0,"['The creator of The Fairly OddParents, Danny Phantom, T.U.F.F. Puppy, and Bunsen is a Beast', 'Butch Hartman IV is an American animator, voice actor', 'He founded Billionfold Inc. in 2003']","['Hartman was an executive producer on The Fairly OddParents for its entirety of its 16-year run', ""No mention of Nickelodeon or the length of The Fairly OddParents' run""]",80.0,"[""Elmer Earl 'Butch' Hartman IV was born on January 10"", 'He is an American animator, illustrator, writer, producer, director, and actor.']","[""He is best known for creating the animated television series 'The Fairly OddParents', 'Danny Phantom', 'T.U.F.F. Puppy', and 'Bunsen Is a Beast' for Nickelodeon."", 'He founded the company, Billionfold Inc. in 2003, to produce the shows.', ""Hartman was an executive producer on 'The Fairly OddParents' for the entirety of its 16year run.""]",78.0,"['Born date: January 10, 1965', 'American animator and voice actor']","['Best known for creating animated television series', 'Founded Billionfold Inc. in 2003', ""Executive producer on 'The Fairly OddParents'"", ""Known for being the creator of 'The Fairly OddParents', 'Danny Phantom', 'T.U.F.F. Puppy' and 'Bunsen is a Beast'""]",1004063,1285325315.0
tapas paul,"'''Tapas Paul''' (29 September 1958 – 18 February was an Bhalobasa Bhalobasa'', ''Anurager Choyan'', ''Amar Bandhan'', ''Guru Dakshina'', ''Uttara'' and ''MLA (2001–and an MP (2009–.","'''Tapas Paul''' (29 September 1958 – 18 February was an Indian actor and politician. One of the most celebrated actors of Bengali cinema, Paul is best known for his onscreen roles opposite Mahua Roy Choudhury and Filmfare Award.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Asia.Asia*', 'Geography.Regions.Asia.South Asia']",73.0,"['Tapas Paul was an Indian actor and politician', ""He acted in several Bengali films, including 'Bhalobasa Bhalobasa', 'Anurager Choyan', 'Amar Bandhan', 'Guru Dakshina', 'Uttara', and 'MLA (2001)'"", 'He was also an MP from 2009']","[""Tapas Paul's birthdate is September 29, 1958, and his death date is February 18"", 'He won a Filmfare Award']",75.0,"[""'Tapas Paul' (born on 29 September 1958 and died on 18 February)"", 'He was an actor and politician.']","['Paul is best known for his onscreen roles opposite Mahua Roy Choudhury', 'He won Filmfare Award', ""Mention of movies like 'Bhalobasa Bhalobasa', ''Anurager Choyan', ''Amar Bandhan', ''Guru Dakshina'', ''Uttara'' and ''MLA (2001–)', ''MLA (2009–)'.""]",80.0,"['Tapas Paul was an Indian actor and politician.', 'He is best known for his onscreen roles opposite Mahua Roy Choudhury.']","['One of the most celebrated actors of Bengali cinema', 'Filmfare Award', ""Bhalobasa Bhalobasa', 'Anurager Choyan', 'Amar Bandhan', 'Guru Dakshina', 'Uttara' and 'MLA (2001–and an MP (2009–""]",10360119,1281405943.0
catholic church in france,The '''Catholic Church in France''' is part of the communion with the Rome across the world.,c. 177 Christianity in Gaul c. 496 Frankish Christianity,Geography,Geography.Regions.Europe.Europe*,"['Culture.Philosophy and religion', 'Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",67.0,"['Catholic Church in France is part of a larger communion', 'The Catholic Church has a connection to Rome']","['Christianity in Gaul and Frankish Christianity are mentioned', 'No specific dates or historical periods are mentioned']",50.0,[],[],80.0,"['The Catholic Church in France is part of the communion with Rome.', 'The Catholic Church in France exists in France.']","['Christianity in Gaul', 'Frankish Christianity', 'The year of establishment']",563566,1283944114.0
"bouville, essonne",'''Bouville''' is a commune. It is in department in north France.,'''Bouville''' () is a commune in the department in ÎledeFrance in northern France.,Geography,Geography.Regions.Europe.Europe*,"['Geography.Regions.Europe.Europe*', 'Geography.Regions.Europe.Western Europe']",75.0,"['Bouville is a commune', 'It is located in France']","['The department name is Île-de-France', 'The region is northern France', 'Specific information about the location (ÎledeFrance, northern France)']",50.0,"['Bouville is a commune', 'Bouville is in the department in north France.']","[""'Bouville'"", ""'()'"", ""'ÎledeFrance'"", ""'in northern France.'""]",80.0,"['Bouville is a commune.', 'It is in department in north France.']","['It is in ÎledeFrance department.', 'Northern France location context']",15579257,1242086922.0
desmond tutu,'''Anglican bishop in Truth and Reconciliation Commission during the 1990s which helped victims of apartheid speak out and seem justice.,"'''Desmond Mpilo Tutu''' (7 October 193126 December was a South African theologian, known for his work as an antiapartheid and Bishop of Johannesburg from 1985 to 1986 and then Archbishop of Cape Town from 1986 to 1996, in both cases being the first Black African to hold the position. Theologically, he sought to fuse ideas from Black theology with African theology.",Culture,Culture.Sports,"['Culture.Media.Radio', 'Culture.Sports', 'Geography.Regions.Africa.Africa*', 'Geography.Regions.Europe.Northern Europe', 'History and Society.Education', 'History and Society.History', 'STEM.Computing']",60.0,"['Desmond Mpilo Tutu was an antiapartheid activist', 'He was a bishop in Truth and Reconciliation Commission during the 1990s', 'The commission helped victims of apartheid speak out and seek justice']","[""Tutu's full name (Desmond Mpilo Tutu)"", 'His work as a theologian, seeking to fuse Black theology with African theology', 'His previous positions as Bishop of Johannesburg (1985-1986) and Archbishop of Cape Town (1986-1996)']",50.0,"['Desmond Mpilo Tutu was a South African theologian', 'He was the first Black African to hold the position of Bishop of Johannesburg and Archbishop of Cape Town']","['Desmond Mpilo Tutu was born on 7 October 1931 and died on 26 December', 'He is known for his work as an anti-apartheid and served as Bishop of Johannesburg from 1985 to 1986 and then Archbishop of Cape Town from 1986 to 1996', 'Theologically, he sought to fuse ideas from Black theology with African theology', 'He was a member of the Anglican bishop in Truth and Reconciliation Commission during the 1990s which helped victims of apartheid speak out and seem justice']",66.67,"['Anglican bishop', 'Truth and Reconciliation Commission']","['South African theologian', 'Antiapartheid activist', 'Bishop of Johannesburg', 'Archbishop of Cape Town', 'Theological work', 'Fusion of Black theology with African theology']",69612616,1062329203.0
steve hogan,"'''Stephen D. Hogan''' (1948 – May 13, was an American politician. He served as the Mayor of Republican Party. He sat on the Colorado House of Representatives between 1975 and He was born in Lincoln, Nebraska.","Specializing in transport management, Hogan was the executive director of the E470 Public Highway Authority from 1991 to 1998, leaving that year to run the Northwest Parkway Authority until At this stage a member of the Democratic Party, Hogan made a run in 1979 for the Aurora City Council, winning in what he described as 'the most competitive council election in decades'.",Culture,Culture.Biography.Biography*,"['Culture.Biography.Biography*', 'Geography.Regions.Americas.North America']",67.0,"['Hogan was a politician', 'He served in government', 'He was born in Lincoln, Nebraska']","['Transport management specialization', 'Executive director of E470 Public Highway Authority (1991-1998)', 'Member of the Democratic Party', 'Candidate for Aurora City Council (1979)', 'Served as Mayor of Republican Party (not mentioned)']",0.0,[],"['Stephen D. Hogan specialized in transport management.', 'Hogan was the executive director of the E470 Public Highway Authority from 1991 to 1998, leaving that year to run the Northwest Parkway Authority.', ""At this stage, a member of the Democratic Party, Hogan made a run in 1979 for the Aurora City Council, winning in what he described as 'the most competitive council election in decades'.""]",50.0,"['Born in Lincoln, Nebraska', 'Served as Mayor of Republican Party']","['Executive director of E470 Public Highway Authority', 'Member of the Democratic Party', 'Run for Aurora City Council', 'Served on the Colorado House of Representatives', 'Experience in transport management']",36501267,1272350230.0
on the origin of species,'''''On the Origin of Species''''' is the famous book by caused evolution to happen.,"The book was written for nonspecialist readers and attracted widespread interest upon its publication. Darwin was already highly regarded as a scientist, so his findings were taken seriously and the evidence he presented generated scientific, philosophical, and religious discussion. The debate over the book contributed to the campaign by T.&nbsp;H. Huxley and his fellow members of the secularise science by promoting scientific naturalism. Within two decades, there was widespread scientific agreement that evolution, with a branching pattern of common descent, had occurred, but scientists were slow to give natural selection the significance that Darwin thought appropriate. During ""modern evolutionary synthesis in the 1930s and 1940s, Darwin's concept of evolutionary adaptation through natural selection became central to modern evolutionary theory, and it has now become the unifying concept of the life sciences.",STEM,STEM.STEM*,"['Geography.Regions.Africa.Eastern Africa', 'STEM.Biology', 'STEM.STEM*']",40.0,"[""The book 'On the Origin of Species' was written by Charles Darwin"", 'Evidence presented in the book generated scientific, philosophical, and religious discussion']","['The book was written for nonspecialist readers and attracted widespread interest upon its publication', ""Darwin's findings were taken seriously due to his reputation as a scientist"", 'The debate over the book contributed to promoting scientific naturalism', 'Widespread scientific agreement on evolution with branching pattern of common descent occurred, but scientists took time to give natural selection significance', ""Darwin's concept of evolutionary adaptation through natural selection became central to modern evolutionary theory""]",50.0,[],[],33.0,"['The book caused evolution to happen', 'The book was written for nonspecialist readers']","[""Darwin's findings generated scientific, philosophical, and religious discussion"", 'The debate over the book contributed to the campaign to secularise science', 'Scientific agreement on evolution occurred within two decades', ""Darwin's concept of evolutionary adaptation through natural selection became central to modern evolutionary theory""]",12292651,176780954.0
